SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
5219,Miller Turner Group,millerturner.com,Private equity firm focused on multiple sectors,1973,Netherlands,North Holland,Amsterdam,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Buyout Funds,42.1638029383,http://millerturner.com,https://linkedin.com/company/miller-turner-group,
5220,KAJIMA VENTURES,kajimaventures.vdtrxn,Venture capital firm backed by Kajima,2021,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,47.387641216300004,,,
5222,HiJoJo Partners,hijojo-partners.com,Venture capital fund investing in late stage startups,2017,Japan,Tokyo,Tokyo,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Growth Equity VCs,77.30392891125001,https://www.hijojo-partners.com/,https://linkedin.com/company/hijojo-partners,https://twitter.com/hijojopartners
5224,HALA Ventures,halavc.com,Venture capital firm backed by Financial Horizon Group,2014,Saudi Arabia,Eastern Province,Khobar,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,64.36918915855,http://halavc.com,https://linkedin.com/company/halavc,https://twitter.com/halaventures
5227,Starquest Capital,starquest-capital.com,VC Firm investing in geographies such as Europe and the US,2008,France,Ile de France,Paris,"Starquest Capital is a venture capital investment company. Makes investments in territories such as Europe and the US. Invests across sectors such as Artificial Intelligence, Big Data, Energy Efficiency and Biopharma. Notable investments include Golaem, Visimmo 3D, WAGA Energy, Diverchim. Usually, invests €500k to €1.5M in companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.32154962210001,https://www.starquest-capital.com/,https://linkedin.com/company/starquest-capital,http://twitter.com/starquest_k
5228,Acorn Campus Taiwan,acorntaiwan.com,Venture capital firm investing in life-science tech startups,,"United States,; Taiwan","California,; Taipei","Santa Clara,; Taipei",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,55.4945208981,https://www.acorntaiwan.com/,https://linkedin.com/company/acorn-campus-taiwan,
5231,Proxima,proxima.co.il,Venture capital fund focused on early stage startups,2003,Israel,Tel Aviv,Tel Aviv,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,56.382926130449995,https://proxima.co.il,https://linkedin.com/company/proxima-investment-house---%D7%A4%D7%A8%D7%95%D7%A7%D7%A1%D7%99%D7%9E%D7%94-%D7%91%D7%99%D7%AA-%D7%94%D7%A9%D7%A7%D7%A2%D7%95%D7%AA,
5232,Growth Capital of Japan,gcjinc.jp,Private equity firm focused on SMEs,2018,Japan,Tokyo,Chuo City,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Buyout Funds,47.6641461145,https://gcjinc.jp,,
5233,Numu Capital,numucapital.com,Seed centric tech-focused micro-VC firm investing in geographies such as Middle East,2016,United Arab Emirates,Dubai,Dubai,"Numu Capital is a seed centric micro-VC firm. Makes investments in territories such as the Middle East. Invests in tech focused companies operating in sectors like Logistics Tech, Analytics & Transport Tech. Notable portfolio companies include Bosta, Mintrics, Hatla2ee. Generally, invests $25K to $100K in portfolio companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,35.3242778395,https://numucapital.com,https://linkedin.com/company/numu-capital,http://twitter.com/numucapital
5234,Defati Investments Holding,defatiinvestmentholding.vdtrxn,Financial holding companies industry,2020,Netherlands,North Holland,Amstelveen,"Financial holding companies industry. It does private investment in companies, acquiring major stakes.",Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Buyout Funds,62.49437814110001,,,
5236,VentureClub,ventureclub.ru,VC firm investing in early-stage startups focusing on fintech & internet sectors,,Russia,,,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,33.2680220445,http://ventureclub.ru/en/,,http://twitter.com/ventureclub_ru
5237,BASF Venture Capital,basf.com/de/de/company/about-us/companies/basf-venture-capital.html,Corporate backed VC fund focused on investing in chemical startups,2001,Germany,Rhineland Palatinate,Ludwigshafen,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,64.45247440745001,http://basf.com/de/de/company/about-us/companies/basf-venture-capital.html,,
5239,JC Gross Investment,jcgrossinvestment.vdtrxn,Private equity firm focused on multiple sectors,,South Korea,,,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,32.552353623600006,,,
5240,LB Private Equity,lb-pe.com,Private equity firm investing in multiple sectors,2017,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Buyout Funds,54.4769069478,http://lb-pe.com,,
5241,Megala Ventures,megala.ventures,Blockchain focused investment firm,2020,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Blockchain Startups,48.04471227260001,http://megala.ventures,https://linkedin.com/company/megala,https://twitter.com/megala_ventures
5242,GF Investments,gf-investments.com,Venture capital firm investing in energy & financing & security sectors,,Cyprus,Limassol,Mesa Geitonia,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,24.535766715,https://gf-investments.com,,
5246,Newfund,newfundcap.com,Early-stage VC firm empowering exceptional entrepreneurs in Silicon Valley & Paris,2008,"France,; United States,; United States","Ile de France,; California,; California","Paris,; Redwood City,; San Francisco","Early-stage VC firm empowering exceptional entrepreneurs in Silicon Valley & Paris. They focus on investing in ventures that benefit both people and the planet, fostering growth through scaling opportunities and networking. They provide support to startups, helping them grow stronger and succeed. They back companies across various sectors, including music, AI-powered education platforms, and drug discovery. They actively share insights and thought leadership through various channels. They invest in B2B, New Space, and other innovative sectors. They provide venture capital, supporting early-stage companies with funding and resources to scale their operations and achieve their vision.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.71780591225,https://newfundcap.com,https://linkedin.com/company/newfund-management,http://twitter.com/newfund
5249,JOLED,j-oled.com,"Developer of OLED-based display panels including printed OLED, oxide TFT displays, and flexible displays",2015,Japan,Tokyo,Tokyo,"Developer of OLED-based display panels including printed OLED, oxide TFT displays, and flexible displays. Offerings include display panels developed using technologies such as printed OLED, oxide TFT technology (TAOS), and flexible displays. The displays are claimed to have multiple features such as they are foldable, unbreakable, see-through, flexible, transparent, energy efficient, have better image quality and self-luminance, etc. Target markets include smartphones, wearable devices, medical equipment monitors, laptops, computers, etc.",Corporate Investor,"Energy Tech,; Semiconductors,; Sustainability Tech,; Environment Tech,; Real Estate and Construction Tech","Energy Efficiency Tech,; Display Technology,; Flexible Electronics,; Printed Electronics,; Facility Management Tech","Energy Efficiency Tech > Lighting Products > OLED,; Display Technology > Display Manufacturer > Flat Panel Displays > OLED Displays,; Flexible Electronics > Components > Flexible Displays,; Printed Electronics > Electronic Components > Printed Displays,; Facility Management Tech > Building Management > Building Energy Management",24.0403614802,http://j-oled.com,https://linkedin.com/company/joledinc,https://twitter.com/joledinc
5251,gaiavp.com,gaiavp.com,"Private equity firm focused on consumer goods, medical, content, ICT service, distribution, and multiple sectors",,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,9.780242511,https://www.gaiavp.com/,,
5252,Taurus Value Creation,taurusvaluecreation.vdtrxn,Venture capital fund focused on startups,2016,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,38.9401445971,,,
5253,Celer Network,celer.network,Blockchain-based application development platform,2018,Singapore,Singapore,Singapore,"Blockchain-based application development platform. It is an application development platform for building decentralized applications. It is an off-chain scaling platform. Off-chain transactions are arbitrary state transitions with dependency DAG. It also offers solutions for off-chain dApps such as gaming, online auction, insurance, prediction market, and decentralized exchanges. It also provides an off-chain smart contract platform powered via a CELR token.",Corporate Investor,"Blockchain Technology,; High Tech","Smart Contracts,; Blockchain Infrastructure","Smart Contracts > DApps Development,; Blockchain Infrastructure > Application Development Platforms",38.14704246150001,https://celer.network,https://linkedin.com/company/celer-network,https://twitter.com/celernetwork
5255,Al Bawader,al-bawader.com,Expansion stage tech and offline focused VC firm investing primarily in Middle East,2010,Israel,Northern District,Nazareth,Al Bawader is a growth stage venture capital investment company. Geographies of interest include the Middle East. Typically invests in tech and offline companies operating in sectors like Manufacturing Services and Technology based companies.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,15.0760709986,http://al-bawader.com,,
5256,Raw Ventures,rawventures.com,Venture capital firm focused on technology sectors,2016,"United Kingdom,; Germany,; Cyprus,; Singapore","England,; Berlin,; Singapore","London,; Berlin,; Singapore",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,42.5256817622,https://www.rawventures.com/,https://linkedin.com/company/raw-ventures,
5257,Flashpoint Venture Capital,flashpointvec.com,"Private fund focused on venture capital, secondary market, and debt investments",2012,"United Kingdom,; Israel,; Hungary,; Poland,; Latvia,; Cyprus",England,London,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Debt Funds,; Secondary Market Funds","Venture Capital Funds > Independent Funds > Conventional VCs,; Private Debt Funds > Venture Debt,; Secondary Market Funds > Direct Secondaries",18.671607786600003,http://flashpointvec.com,https://linkedin.com/company/flashpointvc/about,
5258,Luna Capital,lunavc.io,Venture capital firm focused on early-stage crypto and blockchain companies,2021,United Arab Emirates,Dubai,Dubai,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Blockchain Startups,37.4357096366,http://lunavc.io,https://linkedin.com/company/luna-vc,
5261,Plus VC,plus.vc,Venture capital firm focused on tech and tech-enabled startups,2020,"Nigeria,; United Arab Emirates","Federal Capital Territory,; Abu Dhabi","Abuja,; Abu Dhabi",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,55.2140645745,https://plus.vc,https://linkedin.com/company/plusvc,https://twitter.com/plusvc_
