SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
3115,Kimera,kimera.vdtrxn,,,United Arab Emirates,Dubai,Dubai,,Institutional Investor,Investment Industry,Single Family Offices,Single Family Offices > SFOs,60.95596435910001,,,
3117,Blocksync Ventures,blocksync.com,Venture capital firm focused on tech sectors,2000,United Kingdom,England,London,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,41.2302319052,http://blocksync.com,https://linkedin.com/company/blocksync-ventures,
3118,Unison Partners,unisoncap.com,Provider of private equity investment solutions,1998,Japan,Tokyo,Chiyoda City,"Provider of private equity investment solutions. It is a platform that provides investments in diverse sectors, including healthcare, consumer goods, and B2B services.",Institutional Investor,Investment Industry,"Private Equity Funds,; Limited Partners","Private Equity Funds > Growth Equity,; Limited Partners > Funds of Funds",55.97170869685,http://unisoncap.com,https://linkedin.com/company/unison-capital-inc.,
3119,Bamboo Finance,bamboofinance.com,PE firm investing Globally,2007,"Switzerland,; Luxembourg,; Colombia,; Singapore,; Kenya","Geneva,; Luxembourg,; Bogota,; Singapore,; Nairobi County","Geneva,; Luxembourg,; Bogota,; Singapore,; Nairobi",,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,64.1774200886,http://bamboofinance.com,https://linkedin.com/company/bamboo-investments-inc,http://twitter.com/bamboofinance
3120,Alarko Ventures,alarkoventures.com,Venture capital firm investing in early stage tech startups,2020,Turkey,Istanbul,Istanbul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.2469963108,http://alarkoventures.com,https://linkedin.com/company/alarko-ventures,
3126,OWW Capital Partners,oww.com.sg,PE firm investing in Asia,1991,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,60.050620093199996,https://oww.com.sg,,
3127,Lonsdale Social Innovation Capital,lonsdale.com.sg,Single family office investing in multiple sectors,1999,Singapore,Singapore,Singapore,,Institutional Investor,,,,33.4707250566,https://www.lonsdale.com.sg/,,
3132,Central Investment Partners,cipartners.co.kr,Venture capital firm investing in multiple sectors,2012,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,41.0371521869,http://www.cipartners.co.kr/,,
3134,August One,august.one,Venture capital firm focused on multiple sectors,2012,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,54.53128970955001,https://www.august.one/,https://linkedin.com/company/augustone,
3136,VGI PLC,vgi.co.th,Provides out of home advertising solution,1998,Thailand,Bangkok,Chatuchak,"VGI provides an out of home advertising solution. It provides a solution called O2O solution which is advertising through the integration of Out of Home and Online Media to match with the target audience lifestyle, analyzed by their behavioral data. It helps in targeting at the right time at the right place based on the purchase intention. This is also measurable.",Corporate Investor,Enterprise Applications,Tech for Traditional Advertising,Tech for Traditional Advertising > Out of Home > Digital OOH > Campaign Management,50.174879942900006,http://vgi.co.th,https://linkedin.com/company/vgi-global-media,
3137,Monograph,monograph.bio,Venture capital firm focused on life sciences companies,2021,United Kingdom,England,London,"Venture capital firm focused on life sciences companies. It seeks to create improved therapeutics, diagnostics, and related technology-enabled business services that enhance healthcare outcomes.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Healthcare Startups,78.44866092905,https://www.monograph.bio/,https://linkedin.com/company/monograph-capital,
3138,VCAM,vietcapital.com.vn,Venture capital fund & investment management firm,2006,Vietnam,Southeast,Ho Chi Minh City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,61.8175095421,https://vietcapital.com.vn,https://linkedin.com/company/vietcapital,
3140,Innoterra,innoterra.com,Agri-tech platform transforming food ecosystem with sustainable solutions and farmer empowerment,2004,Switzerland,Canton of Zug,Zug,"Agri-tech platform transforming food ecosystem with sustainable solutions and farmer empowerment. It connects the food ecosystem, ensuring a sustainable supply of healthy food. The company works with farmer communities, implementing integrated supply chains for process efficiency and consistent quality of branded food products. Core products are fully traceable. A data-driven platform combines digital and real-world measures, creating value through data intelligence and network effects. It empowers farmers and partners through improved access to information, insights, infrastructure, people, and markets. It offers solutions in bioscience, supply chain, and farmer connectivity, building a resilient food future. It focuses on AgriTech, Sustainable Farming, BioInnovation, Food Security, and Farm-To-Market solutions.",Corporate Investor,Food and Agriculture Tech,Crop Tech,Crop Tech > ECommerce > Farm Produce > B2B > Multi Category > Marketplace,32.602660157100004,https://www.innoterra.com/,https://linkedin.com/company/innoterra,
3141,Al-Majidiyah Investment Company,almajdiahinvestment.sa,"Private equity firm focused on architectural, engineering, real estate, food, technology, and multiple sectors",2021,Saudi Arabia,Riyadh Province,Riyadh,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,31.035541013800003,https://almajdiahinvestment.sa,https://linkedin.com/company/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D8%A7%D8%AC%D8%AF%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1,https://twitter.com/majdiah_invest
3142,First Asia Venture Capital,firstasia.com.ph,Venture capital firm focused on multiple sectors,1977,Philippines,National Capital Region,Makati,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,32.5103196763,https://www.firstasia.com.ph/,https://linkedin.com/company/first-asia-venture-capital-inc,
3143,Frontive,frontiveholding.com,Private equity firm focused on expansions,2016,"United Kingdom,; Japan","England,; Tokyo","London,; Tokyo",,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,41.5008157435,https://frontiveholding.com/en,https://linkedin.com/company/frontive-services,
3146,Valinco Investments,valincoinvestments.vdtrxn,Private equity firm focused on multiple sectors,2016,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,57.8885947026,,,
3147,Arche Investment,archeinvestment.com,Venture capital fund backed by Reyon Pharmaceutical,2017,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,57.620196011299996,http://archeinvestment.com/kor/main/,,
3153,Jubilee Capital Management,jcmvc.biz,Venture capital firm invests in early-stage tech startups,2015,Singapore,Singapore,Singapore,Venture capital firm invests in early-stage tech startups. It focused on identifying and investing in startups at the forefront of innovation.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,61.47633769475,http://jcmvc.biz,https://linkedin.com/company/jubilee-capital-management-pte-ltd,
3157,Dadam Investment,ddinvest.co.kr,Venture capital firm investing in SMEs,2013,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,53.25038944795,http://ddinvest.co.kr,,
3158,New Era Capital Partners,neweracp.com,Venture capital fund focused on early-stage tech startups,2008,"Israel,; United States","Tel Aviv,; Massachusetts","Tel Aviv,; Boston",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,80.41459537705,https://neweracp.com,https://linkedin.com/company/neweracp,
3159,Impact Capital,impactcapital.jp,Investment fund focused on impact investing,2024,Japan,Tokyo,Shibuya,"Investment fund focused on impact investing. It focus on sustainable and socially responsible economic development. It invests in various sectors, including real estate and financial services, with a goal of generating both financial returns and positive social impact. It is committed to promoting environmentally, socially, and governance factors in its fund management practices.",Institutional Investor,Investment Industry,"Private Equity Funds,; Green Funds","Private Equity Funds > Growth Equity > Sustainable Funds,; Green Funds > Private Equity Funds > Growth Equity > Sustainable Funds",56.8507401083,https://impactcapital.jp,,
3163,Fajr Capital,fajrcapital.com,PE firm investing in Middle East and Southeast Asia,2008,United Arab Emirates,Dubai,Dubai,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,65.63812332535,https://fajrcapital.com,https://linkedin.com/company/fajr-capital,http://twitter.com/fajrcapital
3165,Sienna Venture Capital,sienna-vc.com,Global tech investment firm partnering with founders to scale businesses,2022,France,Ile de France,Paris,"Global tech investment firm partnering with founders to scale businesses. This firm identifies and funds promising tech entrepreneurs, investing in early growth and growth-stage companies. The firm provides support and guidance to its portfolio companies, acting as trusted advisors. Investment focus areas include artificial intelligence, cybersecurity, agrifoodtech, digital health, mobility, and Industry 4.0. The firm's portfolio includes companies developing innovative solutions across various sectors.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds","Venture Capital Funds > Independent Funds > Growth Equity VCs,; Private Equity Funds > Growth Equity",52.926875067500006,https://www.sienna-vc.com/,,
3167,GMobi,generalmobi.com,Performance-based mobile ad platform and internet services provider,2011,Taiwan,Taipei,Taipei,General Mobile Corporation offers a performance-based ad platform that enables content monetization and global users acquisition. It is also a provider of mobile Internet services and products.,Corporate Investor,"Enterprise Applications,; Mobile","AdTech,; Mobile Advertising","AdTech > Campaign Management Platform > Multi-channel,; Mobile Advertising > Campaign Management Platform > Suite",44.7220031373,http://generalmobi.com,https://linkedin.com/company/general-mobile-technology-company,https://twitter.com/gmobit
3168,Rebate Networks,rebatenetworks.com,Private equity investment firm based out of Germany,2010,Germany,Berlin,Berlin,,Institutional Investor,"Retail,; Investment Industry","E-Commerce Support Services,; Private Equity Funds","E-Commerce Support Services > Diversified,; Private Equity Funds > Growth Equity",52.3074617054,https://rebatenetworks.com,https://linkedin.com/company/rebate-networks,https://twitter.com/rebatenetworks
3171,Capricorn Partners,capricorn.be,Tech focused VC firm investing in Europe,1993,Belgium,Flemish Region,Leuven,"Capricorn Venture Partners is a venture capital firm investing in Europe. It invests in tech companies operating in sectors such as Cleantech, Healthtech, ICT. Notable portfolio companies include Avantium, TiGenix, Green Biologics, FRX Polymers, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,73.5157861872,https://capricorn.be/en,https://linkedin.com/company/capricornpartners,
3173,Unity Ventures,unityventures.org,Offline-focused impact venture capital firm investing primarily in Europe,,Hungary,Budapest Fovaros,Budapest,"Unity Ventures is an impact venture capital investment company. Makes investments in territories such as Europe. Typically invests in offline companies operating in sectors such as Healthcare and Consumer Goods. Generally, invests between EUR 100K and EUR 2M in portfolio companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,33.3805395652,http://www.unityventures.org/,,
3174,Global Venture Capital,gvc.jp,Early-stage sector-agnostic venture capital firm investing in geographies such as Japan,1997,"Japan,; Japan","Tokyo,; Tokyo","Tokyo,; Shinagawa","Global Venture Capital (gvc) is an early-stage venture capital firm. Makes investments in territories such as Japan. Invests across multiple sectors such as Solar Energy, Medical Devices, AdTech, EdTech. Notable portfolio companies include Tria Beauty, Semprius, Nanotex, Hoana.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,53.799442937950005,http://gvc.jp,,
3175,SCM Advisors,scmadvisors.co.uk,Venture capital fund focused on tech startups,2012,United Kingdom,England,London,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,54.3901583007,https://www.scmadvisors.co.uk/,https://linkedin.com/company/scm-advisors-uk-limited,
3176,Velo Partners,velopartners.co.uk,Venture capital firm investing in early stage and series A rounds,2013,United Kingdom,England,London,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,53.77450706050001,https://www.velopartners.co.uk/,https://linkedin.com/company/velo-partners,
3177,Phaze Ventures,phazeventures.com,"Venture capital firm for startups, corporates and the youth",2018,Oman,Muscat Governorate,Muscat,"Phaze Ventures is a venture capital firm based in Oman and UAE. They make investments in the youth, startups and corporates of the region. Their portfolio company is SparkLabs Energy.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.6396642066,https://phazeventures.com,https://linkedin.com/company/phaze-ventures,https://twitter.com/phazeventures
3178,Northstar Ventures,northstarventures.co.uk,Early-stage venture capital firm,2004,United Kingdom,England,Newcastle Upon Tyne,"Early-stage venture capital firm. It invests in innovative, high-growth businesses and social enterprises across the region.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,55.590746610850005,https://northstarventures.co.uk,https://linkedin.com/company/northstar-ventures-uk,http://twitter.com/northstarvent
3184,DiGAME,digameinvestment.com,Growth capital for tech-based companies,2016,"United Kingdom,; Nigeria","England,; Lagos","London,; Lagos","DiGAME is an investment firm which provides growth capital for technology-based startups in Africa. The portfolio includes Rhino Africa Safaris, GetSmarter, SWVL etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Growth Equity VCs,67.18871359570001,http://digameinvestment.com,http://linkedin.com/company/digame-investment-company,
3186,Medicxi,medicxi.com,Early-stage life science focused VC firm investing in geographies such as Europe and the US,2016,"United Kingdom,; Switzerland,; Jersey","England,; Geneva,; St Helier","London,; Geneva,; Saint Helier","Medicxi is an early-stage centric venture capital investment company. Invests in geographies like Europe and the US. Typically invests in life science startups operating in sectors such as Therapeutics, Biopharma, Diagnostics and Medical Devices. Top investments include Genmab, Acutus Medical, Versartis, CoMentis.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,58.39868312995,https://www.medicxi.com/,https://linkedin.com/company/medicxi-ventures,http://twitter.com/medicxi
3190,Siraj,siraj.ps,PE firm investing in Asia & Middle east,2003,Palestine,Ramallah and al Bireh,Ramallah,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,31.6898318337,https://www.siraj.ps,https://linkedin.com/company/siraj-fund-management-company,
3194,Vaekstfonden,vf.dk,Venture capital investment firm,1992,"Denmark,; Denmark,; Denmark","Capital Region of Denmark,; Capital Region of Denmark,; Central Jutland","Copenhagen,; Hellerup,; Randers","Venture capital investment firm. It is focused on tech startups, agriculture. and multiple sectors.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Limited Partners","Venture Capital Funds > Independent Funds > Conventional VCs,; Limited Partners > Funds of Funds",72.8136916528,http://vf.dk,https://linkedin.com/company/eifo,https://twitter.com/vaekstfonden
3196,Van Herk Groep,vanherkgroep.nl,Life-Sciences & Offline focused VC firm funding companies in Netherlands,1951,Netherlands,South Holland,Rotterdam,"Van Herk Group is a venture capital firm. Invests in geographies like Netherlands. Generally invests in life sciences and offline focused companies operating in sectors like BioTech R&D, Real Estate, Diagnostics and Biopharma. Notable portfolio companies include Applied Radar Technology, Vitalnext, Isobionics, SkylineDX.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,80.88291235780001,https://www.vanherkgroep.nl/,https://linkedin.com/company/van-herk-groep,http://twitter.com/vanherkgroep
3199,Aristagora VC,aristagoravc.com,Venture capital firm investing in tech sectors,2020,"Israel,; Japan,; Japan","Tel Aviv,; Tokyo,; Tokyo","Tel Aviv,; Minato City,; Tokyo",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,53.4513708531,https://aristagoravc.com,https://linkedin.com/company/aristagoravc,https://twitter.com/aristagoravc
3200,AccelerAsia,accelerasia.com,Early & Expansion stage tech-focused VC firm investing in Southeast Asia & the Middle East,2010,"Singapore,; Indonesia,; United Arab Emirates,; Australia,; Netherlands","Singapore,; Jakarta,; Dubai,; Victoria,; North Holland","Singapore,; Jakarta,; Dubai,; Melbourne,; Amsterdam","AccelerAsia is early and expansion stage focused venture capital investment company. Invests in geographies like Southeast Asia and the Middle East. Generally invests in tech companies in sectors like Digital Media, AdTech, Medtech and Mobile Technology. Top investments include Winnow, Digitata, ROI Hunter, SerVme.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,63.62815972325001,https://www.accelerasia.com/,https://linkedin.com/company/accelerasia,http://twitter.com/accelerasia
3201,Pavillion Capital,pavillioncapital.co.uk,Late stage tech and offline focused VC firm funding companies in the UK,2012,United Kingdom,England,London,"Pavillion Capital is a later stage venture capital investment company. Invests in geographies like the China, Japan and the US. Typically invests in tech and offline companies specializing in sectors such as Healthcare, Financial Services, Gaming and FinTech.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.9820237537,http://pavillioncapital.co.uk,,
3203,KBBO Group,kbbogroup.com,Venture capital firm investing in multiple sectors,2008,"United Arab Emirates,; United States",Abu Dhabi,Abu Dhabi,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.530913925,https://www.kbbogroup.com/,https://linkedin.com/company/kbbo-group,
3205,TLF Ventures,tlfventures.com,Venture capital firm focused on tech companies,2020,Luxembourg,Luxembourg,Luxembourg,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,44.88575476135,http://www.tlfventures.com/public/,https://linkedin.com/company/tlfventures,
3206,Masik Enterprises,masikenterprises.com,Venture capital fund investing in seed-stage startups,,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,59.40980317580001,https://masikenterprises.com,,
3207,Hopeshine Capital,hopeshinecapital.com,"Private equity investment, VC and M&A advisory firm",2011,Singapore,Singapore,Singapore,"Private equity investment, VC and M&A advisory firm. They offer investment as growth capital and advisory on IPOs. Provides funding to early-stage firms focused on the healthcare, entertainment, education, and F&B sectors. Also, offer secondary funding to firms, investors, and entrepreneurs.",Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds,; Investment Banks,; Secondary Market Funds","Venture Capital Funds > Independent Funds > Growth Equity VCs,; Private Equity Funds > Growth Equity,; Investment Banks > IBs,; Secondary Market Funds > Diversified",32.9099713031,https://hopeshinecapital.com,https://linkedin.com/company/hopeshine-group,
3208,Armilar Venture Partners,armilar.com,Seed & early-stage VC firm investing in Portugal,2000,Portugal,Lisbon,Lisbon,"Armilar Venture Partners is a seed and early-stage venture capital firm which makes investments in Portugal, Europe & the US. It invests in sectors such as IoT, Augmented Reality/ Virtual Reality, SaaS & B2B Internet, Life Science, etc. Top investments include AquaSpy, CoreWork, Nanosolar, Outsystem, etc. The firm has more than €200M under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,66.25420074295,https://www.armilar.com/,https://linkedin.com/company/armilar,https://twitter.com/armilarvp
3213,Aurum Land,aurum.sg,Venture capital fund backed by Woh Hup,1982,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,50.0591165603,https://aurum.sg,https://linkedin.com/company/aurum-land-limited,
3217,Initial Capital,initial.vc,Early-stage tech-focused micro VC investing in geographies such as Israel and Brazil,2011,"Israel,; Brazil","Tel Aviv,; State of Sao Paulo","Tel Aviv,; Sao Paulo","Initial Capital is an early-stage focused micro venture capital company. Makes investments in territories such as Israel and Brazil. Invests in tech companies in sectors like Online Retail, Mobile Technology and Fintech. Notable portfolio companies include Me Salva, Camera51, Wibbitz, Basico. Usually, invests $100K to $300K in companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,62.25624488695,http://www.initial.vc/,https://linkedin.com/company/initial.vc,http://twitter.com/initialvc
3222,Spring SEEDS Capital,springseedscapital.vdtrxn,"Venture capital firm focused on deep tech, advanced manufacturing, biomedical, urbanization, and multiple sectors",2008,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Other Captive VCs,54.6058154819,,,
3223,Spring Ventures,springv.com,Deep-tech venture capital firm partnering with visionary founders for long-term success,1999,"Israel,; United States,; United States","Tel Aviv,; New York,; New York","Tel Aviv,; New York City,; New York","Deep-tech venture capital firm partnering with visionary founders for long-term success. It is an innovation hub and tech developer that provides resources, connections, and experience to build successful technologies and businesses. The firm focuses on deep tech, SaaS, and early-stage companies, seeking breakthrough products and technologies with the potential to radically change landscapes. It prefers B2B SaaS models and invests in companies with outstanding teams, products, and growing traction. The firm emphasizes the importance of great founders and seeks opportunities to engage deeply with technology, business, and challenges, remaining committed for the long term. It supports founders in creating success through knowledge and ecosystem support.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,61.72060004590001,https://springv.com,https://linkedin.com/company/spring-v,
3225,PNV,pn-vc.com,Multi-sector focused venture capital firm investing in tech startups,2002,Israel,Tel Aviv,Herzliya,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,56.24999904025,http://pn-vc.com,,
3232,BOV Capital,bovcapital.com,Early-stage tech focused VC firm investing primarily in Sri Lanka,2010,Czech Republic,Ústi nad Labem Region,,"BOV Capital is an early-stage centric VC firm. Invests in geographies like Sri Lanka. Invests in tech companies in sectors like Online Retail, FoodTech, SaaS. Notable portfolio companies include OMAK Technologies, Takas, Zigzag, Saraii Village. Usually invests Rs15M to 200M in companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,43.76636701660001,https://bovcapital.com,https://linkedin.com/company/bov-capital,
3233,Innovacom,innovacom.com,Venture capital firm focused on early stage technology led companies,1988,"France,; France","Ile de France,; Provence Alpes Cote d Azur","Paris,; Marseille",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,81.28043010190001,https://innovacom.com,https://linkedin.com/company/innovacom,http://twitter.com/innovacomvc
3235,SOORIM venture capital,srvc.co.kr,Venture capital fund investing in multiple sectors,2014,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,65.17366514760002,http://srvc.co.kr,https://linkedin.com/company/srfg,
3238,Raging Bull,rgbull.com,Venture capital fund investing in multiple sectors,,Singapore,,,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.1515007973,https://www.rgbull.com/,,
3239,Kindred Capital,kindredcapital.vc,Early-stage centric tech-focused VC firm funding companies in the UK,2015,United Kingdom,England,London,"Kindred Capital is an early-stage venture capital firm. Invests in geographies like the UK. Invests in Tech companies specializing in areas like AdTech, FinTech, HRTech, Online Retail. Notable portfolio companies include Lystable, FiveAI, StreetTeam, Tapdaq.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,73.21198757965,https://kindredcapital.vc,https://linkedin.com/company/kindred-capital-vc,https://twitter.com/kindred_vc
3241,QUAD,quads.vc,Venture capital firm focused on multiple sectors,,South Korea,Seoul,Seoul,"Venture capital firm focused on multiple sectors. It specializes in deep tech sectors such as EV batteries, semiconductors, and autonomous driving.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,35.9028754995,https://www.quads.vc,https://linkedin.com/company/quadvc,
3242,Sodexo Ventures,sodexo-ventures.com,Corporate-backed venture capital fund,2016,France,Ile de France,Issy les Moulineaux,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,64.55174115405,http://sodexo-ventures.com,,
3243,Blocore,blocore.com,Venture capital firm focused on blockchain projects,2018,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Blockchain Startups,56.022466274100005,https://blocore.com,https://linkedin.com/company/blocore,
3247,Blue Horizon,bluehorizon.com,Venture capital firm focused on sustainable food sector,2016,Switzerland,Zurich,Zurich,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.75983146765,https://bluehorizon.com,https://linkedin.com/company/bluehorizoncorp,https://twitter.com/bluehorizoncorp
3249,Sozo Ventures,sozoventures.com,Venture capital firm focused on multiple sectors,2012,"United States,; Japan","California,; Tokyo","Redwood City,; Tokyo",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,83.66584323735,https://www.sozoventures.com/,https://linkedin.com/company/sozoventures,https://twitter.com/sozoventures
3257,Crescendo,crescendoep.com,Private equity firm focused on mid-cap sectors,2012,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,63.54399957774999,https://crescendoep.com,https://linkedin.com/company/crescendo-equity-partners-limited,
3260,Nour Nouf for Knowledge,nournouf.com,Venture capital-backed sector-agnostic accelerator,2016,Saudi Arabia,Makkah Province,Jeddah,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic > VC-Backed",62.143327331600005,https://www.nournouf.com/,https://linkedin.com/company/nour-nouf,https://twitter.com/nour_nouf
3262,2be.lu,2be.lu,Seed & early stage tech-focused VC firm investing primarily in Luxembourg,2014,Luxembourg,Luxembourg,Luxembourg,"2be.lu is a seed & early stage venture capital firm. Geographies of interest include Luxembourg. Invests in tech startups operating in sectors such as Artificial Intelligence, Blockchain, and EdTech. Top investments include Pobble, Tickets Cloud, Take'n'go, Instamart.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.4109076095,https://2be.lu,https://linkedin.com/company/2be-lu,
3263,H&CK Partners,hnckpartners.com,Private equity firm focused on buyouts & equity investments in multiple sectors,2015,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Buyout Funds,32.781043719900005,http://hnckpartners.com,https://linkedin.com/company/h&ck-partners,
3264,Basics Capital,basics.capital,Venture capital fund focused on early-stage blockchain projects,2020,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs > Blockchain Startups,; Accelerators & Incubators > Specialized > Blockchain > VC-Backed",41.8522608775,https://basics.capital,,https://twitter.com/basicscapital
3265,Prodigy Investment,prodigyinvest.co.kr,Private equity firm focused on multiple sectors,2017,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,60.286619943450006,http://prodigyinvest.co.kr,,
3267,LVT Capital,lvtcapital.com,Venture capital fund investing in tech startups,2014,Australia,New South Wales,Edgecliff,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Growth Equity VCs,; Accelerators & Incubators > Sector Agnostic > VC-Backed",53.9023588462,http://lvtcapital.com,https://linkedin.com/company/lvt-capital,https://twitter.com/lvtcapital
3268,Yss Capital,ysscapital.com,Single family office,2012,Singapore,Singapore,Singapore,Yss Capital is a family office. The firm is focused on making direct venture capital investments in early-stage startups. It also makes investment in real estate.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Single Family Offices,55.046211914400004,http://ysscapital.com,,
3269,Nina Capital,nina.capital,Venture capital firm investing in healthcare tech startups,2019,Spain,Catalonia,Barcelona,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.2963446226,https://www.nina.capital/,https://linkedin.com/company/ninacapital,https://twitter.com/ninacapital
